,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
0,0,9/16/2020,AK,7365,1647,247,0,168,1124,253,228,220,3478,396,2498,4471,44,18,0,0,3,16,5,0,0,2,1,40,3,483873,24441,106268,38882,7662,661126,0.011140085248500286,0.003403785704100043,0.010105969477517287,0.004320765392726711,0.010577031655813604,0.0330200991908118,6.655312300529703e-05,3.719984376065621e-05,0.0,7.715652487011985e-05,0.00015056272819663494,0.0006525711302531976
1,1,9/16/2020,AL,141087,42656,32327,0,497,0,0,0,9194,56411,7383,61300,72390,2392,1230,893,0,8,0,0,0,52,209,64,1920,407,3362877,1259224,32903,55240,5208,4715452,0.029920143392404376,0.01268437709734849,0.0256721599969505,0.008997103548153512,0.0,0.0,0.0005072684442551849,0.0003657582480715173,0.0007091669154971633,0.0001448225923244026,0.0,0.0
2,2,9/16/2020,AR,72219,40731,15527,0,865,188,2238,583,5055,7032,14227,57991,1,1157,659,224,0,13,2,43,7,52,157,77,1080,1157,2342403,454021,26134,37537,6685,2866780,0.02519167846852566,0.017388553549495967,0.03419885864310241,0.023043929989077443,0.007193694038417387,0.33477935676888554,0.0004035886953306497,0.00028133502219729057,0.0004933692494400039,0.00034632495937341823,7.65286599831637e-05,0.006432311144353029
3,3,9/16/2020,AZ,209907,50386,6366,63752,2047,12442,0,0,6848,68066,63752,78089,68066,5371,1845,169,1639,62,566,0,0,89,603,1639,3129,603,5418483,280905,335278,188456,16112,6239234,0.03364307221046686,0.009298912629235895,0.02266246595824211,0.010861951861442459,0.037109503158572886,0.0,0.0008608428534656658,0.0003405012067030569,0.0006016268845339172,0.0003289892600925415,0.0016881513251689642,0.0
4,4,9/16/2020,CA,762963,88615,22345,318025,28773,1315,2874,5273,55644,240099,318025,204839,240099,14615,4243,1101,6939,1673,42,58,98,110,351,6939,7325,351,27636403,2486549,622107,5038123,181431,35964613,0.02121426970450092,0.0032064592486945567,0.008986350158392213,0.005711055486338861,0.0021137842846970056,0.015840732840584022,0.00040637167428994716,0.00015352938658478817,0.0004427823461351455,0.0003320681134620969,6.751250186864961e-05,0.00031968076017880074
5,5,9/16/2020,CO,62099,23032,2806,23349,1223,335,242,832,496,9780,23349,28966,0,1905,1192,121,441,60,13,5,26,8,35,441,1425,35,4450623,214919,78144,144819,8420,4896925,0.012681223420820209,0.0051750058362615755,0.013056081593530586,0.008445024478832197,0.004286957411957412,0.028741092636579573,0.00038901963987604467,0.00026782767266515274,0.000563002805708197,0.00041431027696642016,0.00016635954135954135,0.0005938242280285036
6,6,9/16/2020,CT,55166,19362,7263,10813,811,53,0,236,384,16244,10813,28109,16244,4487,3279,661,400,48,2,0,35,21,41,400,4046,41,2950820,392131,16734,140516,3491,3503692,0.015745105448766616,0.006561565937603785,0.018521871517426573,0.005771584730564491,0.0031672044938448668,0.0,0.0012806490981513215,0.001111216543198162,0.0016856611693541188,0.0003415981098237923,0.00011951715071112705,0.0
7,7,9/16/2020,DC,14743,3206,7566,0,230,37,39,0,3573,92,3780,9681,1282,617,67,459,77,8,0,0,0,0,6,77,534,6,251265,310379,3264,21705,770,587383,0.025099466617181633,0.01275943724752751,0.024376649193405483,0.01059663671964985,0.01133578431372549,0.05064935064935065,0.0010504219563725883,0.0002666507472190715,0.001478837163596764,0.00036857866850956,0.0,0.0
8,8,9/16/2020,DE,19234,6914,5104,4528,256,0,0,0,893,1539,4528,13167,1539,619,398,160,48,1,0,0,0,12,0,48,571,0,645770,196281,5929,29342,690,878012,0.02190630651972866,0.010706598324480853,0.026003535747219548,0.00872469497648422,0.0,0.0,0.0007050017539623604,0.0006163185034919553,0.0008151578604144059,3.408083975189148e-05,0.0,0.0
9,9,9/16/2020,FL,671201,165636,98469,192387,0,0,0,0,43502,171207,192387,263248,215566,13100,6169,2394,3246,0,0,0,0,548,743,3246,8395,1459,14808867,3078067,89119,474199,18790,18469042,0.036341949950625486,0.011184920493917597,0.03199053172006977,0.0,0.0,0.0,0.0007092950462725679,0.0004165747453873413,0.0007777608479607494,0.0,0.0,0.0
10,10,9/16/2020,GA,299056,87253,76495,38142,4565,177,323,0,8351,83750,38142,146662,114252,6419,3106,2688,401,119,6,8,0,21,70,401,5932,86,6144931,2993927,48599,323459,10454,9521370,0.031408925396240246,0.014199183033951073,0.0255500551616656,0.014113071517564822,0.0036420502479474885,0.03089726420508896,0.0006741676880532948,0.0005054572622540432,0.00089781748185577,0.00036789824985546853,0.00012345933043889792,0.0007652573177731012
11,11,9/16/2020,HI,10946,739,84,0,1671,0,1966,0,231,6255,0,0,0,103,7,5,0,42,0,24,0,5,20,0,0,0,349051,22473,4960,531633,138292,1046409,0.010460536941100468,0.0021171691242826978,0.003737818715792284,0.0031431457415171745,0.0,0.014216295953489718,9.843187510810782e-05,2.005437600809051e-05,0.00022248920927335025,7.900186782987513e-05,0.0,0.00017354583056142077
